P751,Pelaw P1
APUP,Pelaw P1
P765,between PLW and PJC
6282,Pelaw Junction (in-line)
6276,between PJC and FGT (berth 1)
6274,between PJC and FGT (berth 2)
6272,between PJC and FGT (berth 3)
6268,Fellgate P1
6266,between FGT and BYW (berth 1)
6264,between FGT and BYW (berth 2)
6254,Brockley Whins P1
6252,between BYW and EBO (berth 1)
6248,between BYW and EBO (berth 2)
6246,between BYW and EBO (berth 3)
6244,East Boldon up-loop
6242,East Boldon P1
6238,between EBO and SBN (berth 1)
6236,between EBO and SBN (berth 2)
6234,between EBO and SBN (berth 3)
6232,Seaburn P1
6228,between SBN and SFC (berth 1)
6226,between SBN and SFC (berth 2)
6224,Stadium of Light P1
6222,St Peter's P1
6208,between MSP and SUN
6206,Sunderland P2
6298,Park Lane P1
6294,University P1
6292,Millfield P1
6290,between MLF and PAL
6288,Pallion P1
6286,between PAL and SHL (berth 1)
6284,between PAL and SHL (berth 2)
6280,South Hylton P1
6285,South Hylton P2
6287,between SHL and PAL (berth 1)
6289,between SHL and PAL (berth 2)
6291,Pallion P2
6293,between PAL and MLF
6295,Millfield P2
6297,University P2
6299,Park Lane P2
6207,Sunderland P3
6209,between SUN and MSP
6217,between SUN and MSP
6219,St Peter's P2
6223,Stadium of Light P2
6225,between SFC and SBN
6227,Seaburn P2
6229,between SBN and EBO (berth 1)
6233,between SBN and EBO (berth 2)
6237,between SBN and EBO (berth 3)
6239,East Boldon P2
6243,between EBO and BYW (berth 1)
6245,between EBO and BYW (berth 2)
6247,between EBO and BYW (berth 3)
6249,between EBO and BYW (berth 4)
6265,Brockley Whins P2
6267,between BYW and FGT
6269,Fellgate P2
6273,between FGT and PJC (berth 1)
6275,between FGT and PJC (berth 2)
6277,between FGT and PJC (berth 3)
6279,between FGT and PJC (berth 4)
P764,Pelaw Junction (out-line)
LSDP,Pelaw Junction (out-line)
GSFH,Pelaw towards Gosforth
P773,between PLW and HEB (berth 1)
P775,between PLW and HEB (berth 2)
P789,Hebburn P1
P803,between HEB and JAR
P807,Jarrow P1
P804,Jarrow P2
P802,between JAR and HEB
P790,Hebburn P2
P776,between HEB and PLW (berth 1)
P770,between HEB and PLW (berth 2)
6213,Sunderland P2
6298,Sunderland P3
6214,Sunderland P4
6217,Sunderland P1
0019,towards HTH (main line)
5310,between HTH (main line) and FGT
5312,between HTH (main line) and FGT
6278,between HTH (main line) and FGT
TDEN,Boldon North Junction / Tyne Dock
00P2,Boldon North Junction / Tyne Dock
