Address:Bit,Element type,Description,,
00:5,,,,
01:7,,,,
02:6,,,,
03:7,,,,
07:7,,,,
08:0,,,,
08:2,,,,
08:4,,,,
08:7,,,,
09:1,,,,
09:2,,,,
09:3,,,,
0A:4,,,,
0B:0,,,,
0B:2,,,,
0B:3,,,,
0B:6,,,,
0B:7,,,,
0C:2,,,,
0C:3,,,,
0C:4,,,,
0C:5,,,,
0D:0,,,,
0D:1,,,,
0D:2,,,,
0D:3,,,,
0D:4,,,,
0D:6,,,,
0D:7,,,,
0E:0,,,,
0E:2,,,,
0E:5,,,,
0E:6,,,,
0F:1,,,,
0F:3,,,,
0F:4,,,,
0F:5,,,,
0F:6,,,,
10:0,,,,
10:1,,,,
10:2,,,,
10:3,,,,
10:4,,,,
10:5,,,,
10:6,,,,
11:1,,,,
11:4,,,,
11:6,,,,
12:1,,,,
12:6,,,,
15:1,,,,
15:2,,,,
15:3,,,,
15:4,,,,
15:5,,,,
15:6,,,,
15:7,,,,
16:2,,,,
16:5,,,,
16:6,,,,
17:0,,,,
17:1,,,,
17:2,,,,
17:3,,,,
17:4,,,,
17:5,,,,
17:6,,,,
17:7,,,,
18:0,,,,
18:1,,,,
18:2,,,,
18:3,,,,
18:4,,,,
18:5,,,,
18:6,,,,
19:0,,,,
19:1,,,,
19:2,,,,
19:4,,,,
19:5,,,,
19:6,,,,
19:7,,,,
1A:1,,,,
1A:2,,,,
1A:4,,,,
1A:5,,,,
1A:6,,,,
1A:7,,,,
1B:0,,,,
1B:1,,,,
1B:2,,,,
1B:3,,,,
1B:4,,,,
1B:5,,,,
1B:6,,,,
1B:7,,,,
1C:0,,,,
1C:1,,,,
1C:2,,,,
1C:3,,,,
1C:4,,,,
1C:5,,,,
1C:6,,,,
1C:7,,,,
1D:0,,,,
1D:1,,,,
1D:2,,,,
1D:3,,,,
1D:4,,,,
1D:5,,,,
1D:6,,,,
1E:0,,,,
1E:1,,,,
1E:2,,,,
1E:4,,,,
1E:6,,,,
1F:0,Signal,47,,
1F:1,Signal,49,,
1F:2,Signal,51,,
1F:3,Signal,52,,
1F:4,Signal,53,,
1F:5,Signal,54,,
1F:6,Signal,57,,
1F:7,Signal,58,,
20:0,,,,
20:1,,,,
20:2,,,,
20:3,,,,
20:4,,,,
20:5,,,,
20:6,,,,
21:0,,,,
21:1,,,,
21:2,,,,
21:3,,,,
21:4,,,,
21:6,,,,
21:7,Signal,6206,,
22:0,Signal,6207,,
22:1,Signal,6208,,
22:2,Signal,6209,,
22:3,,,,6213
22:4,,,,6214
22:5,,,,6215
22:6,Signal,6217,,
22:7,Signal,6219,,
23:0,Signal,6221,,
23:1,Signal,6222,,
23:2,Signal,6223,,
23:3,Signal,6224,,
23:4,Signal,6225,,
23:5,Signal,6226,,
23:6,Signal,6227,,
23:7,Signal,6228,,
24:0,Signal,6229,,
24:1,Signal,6232,,
24:2,Signal,6233,,
24:3,Signal,6234,,
24:4,Signal,6236,,
24:5,Signal,6237,,
24:6,Signal,6238,,
24:7,Signal,6239,,
25:0,Signal,6241,,
25:1,Signal,6242,,
25:2,Signal,6243,,
25:3,Signal,6244,,
25:4,Signal,6245,,
25:5,Signal,6246,,
25:6,Signal,6247,,
25:7,Signal,6248,,
26:0,Signal,6249,,
26:1,Signal,6251,,
26:2,Signal,6252,,
26:3,Signal,6254,,
26:4,Signal,6263,,
26:5,Signal,6264,,
26:6,Signal,6265,,
26:7,Signal,6266,,
27:0,Signal,6267,,
27:1,Signal,6268,,
27:2,Signal,6269,,
27:3,Signal,6272,,
27:4,Signal,6273,,
27:5,Signal,6274,,
27:6,Signal,6275,,
27:7,Signal,6276,,
28:0,Signal,6277,,
28:1,Signal,6278,,
28:2,Signal,6279,,
28:3,Signal,6282,,
28:4,Signal,6284,,
28:5,Signal,6285,,
28:6,Signal,6286,,
28:7,Signal,6287,,
29:0,Signal,6288,,
29:1,Signal,6289,,
29:2,Signal,6290,,
29:3,Signal,6291,,
29:4,Signal,6292,,
29:5,Signal,6293,,
29:6,Signal,6294,,
29:7,Signal,6295,,
2A:0,Signal,6297,,
2A:1,Signal,6298,,
2A:2,Signal,6299,,
2A:3,,,,
2A:4,Signal,64,,
2A:5,,,,
2A:6,,,,
2A:7,,,,
2B:0,,,,
2B:1,,,,
2B:2,,,,
2B:3,,,,
2B:4,,,,
2B:5,,,,
2B:7,,,,
2C:0,Signal,6204,,
2C:1,,,,
2C:2,,,,
2C:3,,,,
